kind,related_url,createdAt,isAccounted,private
opinionVote,https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-117-parmis-tant-dautres,"2019-03-02 05:00:02",1,
opinionVote,https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-116-parmis-tant-dautres,"2019-03-01 05:00:01",1,
opinionVote,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/premiere-section-dans-la-premiere-consultation/opinion-83,"2018-03-01 02:00:00",1,
sourceVote,https://capco.dev/projects/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/consultation/consultation-step-in-private-project-admin-only/opinions/la-section-le-sous-titre/opinion-2-in-private-project#source-source45,"2017-02-21 04:00:00",1,
proposalUserVote,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie,"2017-02-01 00:04:00",1,0
proposalUserVote,https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,"2017-02-01 00:04:00",1,0
proposalUserVote,https://capco.dev/project/questions-responses/collect/collecte-des-questions-chez-youpie/proposals/comment-faire-de-lelectricite,"2017-02-01 00:00:57",1,0
proposalUserVote,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-plus-votable,"2017-02-01 00:00:52",1,0
proposalUserVote,https://capco.dev/project/depot-avec-selection-vote-budget/collect/collecte-des-propositions-1/proposals/proposition-tres-chere,"2017-02-01 00:00:51",1,0
vote,https://capco.dev/projects/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/consultation/consultation-step-in-project-with-custom-access-group-2-3/opinions/la-section-dassaut-cette-incroyable-joke/opinion-in-project-with-custom-access/versions/je-suis-une-opinion-version-dun-opinion-dune-consultation-dans-un-project-avec-un-acces-custom,"2016-01-03 00:00:00",1,
opinionVote,https://capco.dev/consultations/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/consultation/consultation-step-in-project-with-custom-access-group-2-3/opinions/la-section-dassaut-cette-incroyable-joke/opinion-in-project-with-custom-access,"2015-03-01 00:00:10",1,
opinionVote,https://capco.dev/consultations/projet-de-loi-renseignement/consultation/elaboration-de-la-loi/opinions/chapitre-ier-economie-de-la-donnee/section-1-ouverture-des-donnees-publiques/article-1,"2015-03-01 00:00:03",1,
proposalUserVote,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/renovation-du-gymnase,"2015-03-01 00:00:01",1,0
opinionVote,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-enjeux/opinion-3,"2015-03-01 00:00:00",1,
commentVote,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/ravalement-de-la-facade-de-la-bibliotheque-municipale#comment_proposalComment4,"2015-02-01 00:04:00",1,
commentVote,https://capco.dev/project/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/collect/collecte-des-propositions-liberer-les-nains-de-jardin/proposals/liberons-les-nains-de-jardin#comment_proposalComment71,"2015-01-01 09:00:00",1,
commentVote,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex#comment_proposalComment36,"2015-01-01 07:00:00",1,
commentVote,https://capco.dev/project/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/collect/collecte-des-propositions-liberer-les-nains-de-jardin/proposals/liberons-les-nains-de-jardin#comment_proposalComment59,"2015-01-01 06:00:00",1,
vote,https://capco.dev/consultations/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/consultation/consultation-step-in-project-with-custom-access-group-2-3/opinions/la-section-dassaut-cette-incroyable-joke/opinion-in-project-with-custom-access#arg-argument255,"2015-01-01 03:00:00",1,
vote,https://capco.dev/projects/projet-de-loi-renseignement/consultation/elaboration-de-la-loi/opinions/chapitre-ier-economie-de-la-donnee/section-1-ouverture-des-donnees-publiques/article-1/versions/modification-2,"2015-01-01 00:04:00",1,
commentVote,https://capco.dev/events/event-with-registrations#comment_eventComment4,"2015-01-01 00:04:00",1,
