comment_type,comment_id,comment_related_id,comment_related_type,comment_body,comment_createdAt,comment_publishedAt,comment_updatedAt,comment_pinned,comment_publicationStatus
eventComment,Q29tbWVudDpldmVudENvbW1lbnQyOQ==,RXZlbnQ6ZXZlbnQy,,"Commentaire n°29","2018-03-17 00:00:00","2018-03-17 00:00:00","2018-03-17 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQyOA==,RXZlbnQ6ZXZlbnQy,,"Commentaire n°28","2018-03-16 00:00:00","2018-03-16 00:00:00","2018-03-16 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQyNw==,RXZlbnQ6ZXZlbnQy,,"Commentaire n°27","2018-03-15 00:00:00","2018-03-15 00:00:00","2018-03-15 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQyNg==,RXZlbnQ6ZXZlbnQy,,"Commentaire n°26","2018-03-14 00:00:00","2018-03-14 00:00:00","2018-03-14 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQyNQ==,RXZlbnQ6ZXZlbnQy,,"Commentaire n°25","2018-03-13 00:00:00","2018-03-13 00:00:00","2018-03-13 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQyNA==,RXZlbnQ6ZXZlbnQy,,"Commentaire n°24","2018-03-12 00:00:00","2018-03-12 00:00:00","2018-03-12 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQyMw==,RXZlbnQ6ZXZlbnQy,,"Commentaire n°23","2018-03-11 00:00:00","2018-03-11 00:00:00","2018-03-11 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQyMg==,RXZlbnQ6ZXZlbnQy,,"Commentaire n°22","2018-03-10 00:00:00","2018-03-10 00:00:00","2018-03-10 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQyMQ==,RXZlbnQ6ZXZlbnQy,,"Commentaire n°21","2018-03-09 00:00:00","2018-03-09 00:00:00","2018-03-09 00:00:00",No,PUBLISHED
eventComment,Q29tbWVudDpldmVudENvbW1lbnQyMA==,RXZlbnQ6ZXZlbnQy,,"Commentaire n°20","2018-03-08 00:00:00","2018-03-08 00:00:00","2018-03-08 00:00:00",No,PUBLISHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDUw,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:50:00","2018-02-01 00:50:00","2018-02-01 00:50:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDQ5,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:49:00","2018-02-01 00:49:00","2018-02-01 00:49:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDQ4,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:48:00","2018-02-01 00:48:00","2018-02-01 00:48:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDQ3,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:47:00","2018-02-01 00:47:00","2018-02-01 00:47:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDQ2,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:46:00","2018-02-01 00:46:00","2018-02-01 00:46:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDQ1,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:45:00","2018-02-01 00:45:00","2018-02-01 00:45:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDQ0,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:44:00","2018-02-01 00:44:00","2018-02-01 00:44:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDQz,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:43:00","2018-02-01 00:43:00","2018-02-01 00:43:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDQy,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:42:00","2018-02-01 00:42:00","2018-02-01 00:42:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDQx,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:41:00","2018-02-01 00:41:00","2018-02-01 00:41:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDQw,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:40:00","2018-02-01 00:40:00","2018-02-01 00:40:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDM5,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:39:00","2018-02-01 00:39:00","2018-02-01 00:39:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDM4,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:38:00","2018-02-01 00:38:00","2018-02-01 00:38:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDM3,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:37:00","2018-02-01 00:37:00","2018-02-01 00:37:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDM2,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:36:00","2018-02-01 00:36:00","2018-02-01 00:36:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDM1,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:35:00","2018-02-01 00:35:00","2018-02-01 00:35:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDM0,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:34:00","2018-02-01 00:34:00","2018-02-01 00:34:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDMz,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:33:00","2018-02-01 00:33:00","2018-02-01 00:33:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDMy,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:32:00","2018-02-01 00:32:00","2018-02-01 00:32:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDMx,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:31:00","2018-02-01 00:31:00","2018-02-01 00:31:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDMw,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:30:00","2018-02-01 00:30:00","2018-02-01 00:30:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDI5,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:29:00","2018-02-01 00:29:00","2018-02-01 00:29:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDI4,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:28:00","2018-02-01 00:28:00","2018-02-01 00:28:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDI3,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:27:00","2018-02-01 00:27:00","2018-02-01 00:27:00",No,TRASHED
proposalComment,Q29tbWVudDp0cmFzaGVkQ29tbWVudDI2,UHJvcG9zYWw6cHJvcG9zYWwx,,Insultes,"2018-02-01 00:26:00","2018-02-01 00:26:00","2018-02-01 00:26:00",No,TRASHED
