kind,related_url,createdAt,isAccounted,private
proposalUserVote,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-vote-par-sms/proposals/proposalsmsvote1,"2022-03-01 00:01:02",1,0
proposalUserVote,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-vote-par-sms/proposals/proposalsmsvote2,"2022-03-01 00:01:02",1,0
vote,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,"2021-05-02 00:00:00",1,
opinionVote,https://capco.dev/consultations/strategie-technologique-de-letat-et-services-publics/consultation/etape-de-multi-consultation/opinions/premiere-section-dans-la-premiere-consultation/opinion-83,"2018-03-01 03:00:00",1,
sourceVote,https://capco.dev/projects/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-enjeux/opinion-3#source-source1,"2017-02-21 01:00:00",1,
proposalUserVote,https://capco.dev/project/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,"2017-02-01 00:01:00",1,0
proposalUserVote,https://capco.dev/project/budget-avec-vote-limite/collect/collecte-avec-vote-simple-limite-1/proposals/proposition-17,"2017-02-01 00:00:55",1,0
commentVote,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/ravalement-de-la-facade-de-la-bibliotheque-municipale#comment_proposalComment1,"2015-02-01 00:01:00",1,
vote,https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-2#arg-argument1,"2015-01-01 00:01:00",1,
vote,https://capco.dev/projects/projet-de-loi-renseignement/consultation/elaboration-de-la-loi/opinions/chapitre-ier-economie-de-la-donnee/section-1-ouverture-des-donnees-publiques/article-1/versions/modification-2,"2015-01-01 00:01:00",1,
vote,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,"2015-01-01 00:00:00",1,
commentVote,https://capco.dev/events/phptourdufuture#comment_eventComment1,"2015-01-01 00:00:00",1,
