export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name
export_contribution_type_proposal,proposal110,"2020-01-01 00:00:03","""17-9110""","Proposal 110",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",user160,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-110?_locale=fr-FR,
export_contribution_type_proposal,proposal111,"2020-01-01 00:00:03","""17-9111""","Proposal 111",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",user160,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-111?_locale=fr-FR,
export_contribution_type_proposal,proposal112,"2020-01-01 00:00:03","""17-9112""","Proposal 112",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",user160,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-112?_locale=fr-FR,
export_contribution_type_proposal,proposal113,"2020-01-01 00:00:03","""17-9113""","Proposal 113",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",user160,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-113?_locale=fr-FR,
export_contribution_type_proposal,proposal114,"2020-01-01 00:00:03","""17-9114""","Proposal 114",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",user160,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-114?_locale=fr-FR,
export_contribution_type_proposal,proposal115,"2020-01-01 00:00:03","""17-9115""","Proposal 115",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",user160,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-115?_locale=fr-FR,
export_contribution_type_proposal,proposal116,"2020-01-01 00:00:03","""17-9116""","Proposal 116",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",user160,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-116?_locale=fr-FR,
export_contribution_type_proposal,proposal117,"2020-01-01 00:00:03","""17-9117""","Proposal 117",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",user160,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-117?_locale=fr-FR,
export_contribution_type_proposal,proposal118,"2020-01-01 00:00:03","""17-9118""","Proposal 118",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",user160,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-118?_locale=fr-FR,
export_contribution_type_proposal,proposal119,"2020-01-01 00:00:03","""17-9119""","Proposal 119",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",user160,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-119?_locale=fr-FR,
export_contribution_type_proposal,proposal120,"2020-01-01 00:00:03","""17-9120""","Proposal 120",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",user160,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-120?_locale=fr-FR,
