name,author,district_name,address,collect_status,estimation,category,summary,body,Adresse,Résumé,Objectif
Novelle aire de jeux à la Noue,Claire Milani,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,130000,Aménagement et Mobilier Urbain,,"Depuis plusieurs années nous disposons d'un terrain de sable qui n'est pas exploité à sa juste valeur au vu de son état.Nous avons donc donné la parole aux enfants du centre de loisirs Joliot Curie élémentaire, pour qu'ils nous fassent des propositions pour un aménagement de cet espace. ce terrain de sable se trouve entre le gymnase Joliot Curie et l'école Joliot Curie.
",La Noue,"Favoriser le vivre ensemble, offrit un espace de loisirs","Favoriser le vivre ensemble, offrir un espace de loisirs pour le quartier"
Rucher des Chlorophiliens,Claudie Hersent ,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,5000,Espaces verts,,"Un rucher dans un jardin de quartier, un geste écologique, bio et responsable mais aussi vecteur de cohésion sociale. Installation de ruches et développement d'activités de sensibilisation et d'initiation à l'apiculture en milieu urbain ",Rucher des Chlorophiliens,Sensibilisation à la protection de l'environnement,Sensibilisation à la protection de l'environnement
OXYMORE : Des lieux associatifs ouverts l'été à la place des friches de nos quartiers,Clément Girard ,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,20000,Aménagement et Mobilier Urbain,,Oxy More est une régie associative créée pour ouvrir des lieux éphémères l'été. Nous souhaitons proposer la gestion de ces lieux à des associations locales. Le but étant qu'elles puissent bénéficier d'une activité économique et d'une visibilité temporaires pour mieux conduire leurs autres causes ou projets par la suite. ,Quartier Paul Signac,Occuper temporairement des terrains en friche de nos quartiers,Occuper temporairement des terrains en friche pour créer des lieux associatifs éphémères conviviaux dans les quartiers.
Panneaux / paniers de basket,Corinne OLABISI,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,700,Sports,,"Réparer ou remplacer les panneaux de basket sur le terrain de plein air, situé devant le gymnase Henri Wallon, et acollé à l'école primaire Henri Wallon. Depuis que les terrains de baskets ont été cassés les jeunes ont très peu d'endroit pour pratiquer du sport.",Rue Henri Wallon,"Réparer ou remplacer les panneaux de
basket sur le terrain de plein air. Trouver
des astuces pour faire respecter le
Matériel (affiches humoristiques, …)",Faire du sport
Esprits Footés,Delphine misaine,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,6500,Culture et loisirs,,"A la demande des jeunes du quartiers et afin de donner la parole a des passionnés de footbal pour analyser et débattre de l'actualité foot et de tous les sujets du ballon rond, de l'Euro 2016 et de la Coupe du Monde 2018.",,"Installer un environnement dédiés aux échanges conviviaux, pertinents et intelligents, pendant et après les matchs.

il convient donc d'avoir un grand écran de TV, une table, des chaises, un tableau blanc, les abonnements aux chaines sportives ainsi qu'un",Canaliser les énergies positives des jeunes par le partage d'une passion
construire une porte d'entrée du site des murs à pêches,Diana Tempia ,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Le site des murs à pêches n'est pas visible par ceux qui ne le connaissent pas: proposition de construire une porte d'entrée du site sur le modèle de la porte d'entrée du jardin école tout proche, ","A l'entrée du site des murs à pêches : à la fin de
la rue St Antoine, juste après le 33 rue Pierre-Jean
De Béranger,","Construire une porte d'entrée du site sur le modèle de la porte d'entrée du jardin école tout proche, avec une variante, l'enduire du même plâtre que celui utilisé sur les murs à pêches, et bien sûr, l'écriture ""entrée du site des murs à pêches"".

La port",Pallier au manque de visibilité du quartier des murs à pêches
une jardinière réalisée et entretenue par les habitants du quartier,Diana Tempia ,"Ruffins-Théophile Sueur
Montreau-Le Morillon",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"construire, entre habitants, une jardinière sur la chaussée pour la rétrécir et ainsi empêcher les voitures de se garer sur le trottoir, car ces véhicules sont parfois incendiés. Les plantes seront installées et entrenues par les habitants.",,"construire, entre habitants, une jardinière sur la chaussée pour la rétrécir et ainsi empêcher les voitures de se garer sur le trottoir. Les plantes seront installées et entrenues par les habitants.",Rétrécir la chaussée pour empêcher les incendies de voitures
L'école du pain,Didier Bodelot,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,10000,Education et jeunesse,,L'école du pain,,"Aménager l'espace autour du four:
- extension de la dalle de béton devant et sur le côté droit du four 
- installation de volets mobiles en bois en position fermée: protection intégrale du four
en position ouverte: prolongement du auvent devant le four (+","Eveiller et éduquer par la fabrication du pain ""hors les murs"" de l'école. faciliter l'accueil du public Protéger le four et les publics accueillis Soulager la gestion des salles de la maison de quartier."
Des livres pour tous,Dominique Delage,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,1100,Culture et loisirs,,"Faisons des livres un élément du paysage urbain, un objet que chacun peut s'approprier et favorisons autour d'eux l'échange entre les habitants.",,"Installer des ""boîtes"" contenant des livres, dans les espaces publiques permet aux adultes, aux enfants d'emprunter un ou des livres puis de le(s) redéposer.",mettre des livres à la disposition de tous et gratuitement
Place nette,Drogoz Carpentier Elisabeth,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Espaces verts,,"Le petit passage qui relie la rue Rabelais (à hauteur du 24/26) à l'avenue de la Résistance est un véritable coupe george. Un lieu toujours sale et une pissotière aussi. Une géométrie bizarre qui jouxte cet espace est un fouillis de végétation dense et laide où s'entasse toutes sortes d'ordures et de drogues. Enlever cet espace supprimeraient tous ces désagréments. C'est aussi un lieu de rencontres de drogues, je les vois de ma fenêtre.","la rue Rabelais et de l'avenue de la Résistance face aux
logements HLM","Espace de végétation dense où s'entassent toutes sortes
d'ordures et de drogues.

Enlever cet espace supprimerait tous ces désagréments.

","Un besoin esthétique  lié à une meilleure visibilité, éviter l'accumulation de déchets et les rencontres de drogues"
"Sécurité piétons
",Drogoz Carpentier Elisabeth,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,"Mobilité, circulation",,"Devant le « Monoprix » de la Croix de Chavaux, circulent vélos, motos, patinettes et rollers. Les piétons ne sont pas en sécurité. Les véhicules arrivent à toute vitesse depuis la rue Parmentier pour venir se garer soi devant le monoprix soit devant la pharmacie de la Croix de Chavaux.","Devant le « Monoprix » de la Croix de Chavaux :
espace entre rue Parmentier et avenue de la
Résistance","Les véhicules arrivent à toute vitesse depuis la
rue Parmentier pour venir se garer soi devant le
monoprix soit devant la pharmacie de la croix de
Chavaux.

Il faut envisager un stationnement de ces véhicules
en dehors des trottoirs.
","Circuler sur le trottoir sans avoir peur des motos, vélos, patinettes et rollers qui déboulent à toute vitesse"
"
Lieu de rencontre pour les assistantes maternelles
",EL AYYADI Céline,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,,Education et jeunesse,,"
Lieu de rencontre pour les assistantes maternelles
",,"Les assistantes maternelles implantées sur les quartiers Villiers/La Noue et clos francais sont confrontées à la saturation des capacités d'accueil du relais d'assistantes maternelles de la ville ainsi que de son éloignement géographique
",
"
Montreuil Basket!
",Elias Waldman,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Sports,,"Le projet serait de refaire un revêtement durable et adapté au basket qui nous permette de jouer dans de bonnes conditions. Le fait d'avoir deux panneaux nous permettrait aussi de faire des matchs ou de jouer à plusieurs sur chaque panneau. Il s'agit de réhabiliter le terrain de basket de la rue Edouard Vaillant qui est aujourd'hui en terre battue et sable. Sur ce terrain, un seul des panneaux est fonctionnel.",terrain de basket de la rue Edouard Vaillant,"Réhabiliter le terrain de basket de la rue Edouard Vaillant qui est aujourd'hui en terre battue et sable. Sur ce terrain, un seul des panneaux est fonctionnel.

Le projet serait de refaire un revêtement durable et adapté au basket qui nous permette de jou","Réunir des personnes du quartier (enfants, adolescents, adultes) pour jouer au basket"
Kid's Corner,Emmanuel Guinot,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Espaces verts,,"créer un espace vert aménagé, avec des jeux pour les enfants, en lieu et place du terrain vague / ""terrain sportif"" dit ""Square des Expulsés"" situé entre le 42 et le 50 rue Edouard Vaillant",Quartier Bas Monrteuil / Bobillot,Pallier au déficit de squares et d'espaces verts dans le quartier,Pallier au déficit de squares et d'espaces verts dans le quartier du bas montreuil
Quartier pacifié,Emmanuel Guinot,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,"Mobilité, circulation",,"La sécurité des piétons est réellement menacée, dans la mesure où ces bolides surgissent à tout moment dans des toutes petites rues, très résidentielles ; ces rues sont particulièrement fréquentées par les jeunes enfants, qui ne sont plus en sécurité","Rues Douy Delcupe, Beaumarchais et Sergent Godefroy",Sécuriser un quartier confronté à des excès de vitesse particulièrement inquiétants,Sécuriser un quartier confronté à des excès de vitesse particulièrement inquiétants
Tout l'univers de Jules Verne en place,Eric Loubet ,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,Aménagement et Mobilier Urbain,," S'appuyer sur ce qui est déjà en place : les animations et réunions enfantines ; l'installation paysagère (cultures et animations) ; la situation géographique (dénivellement) ; l'ouverture du champ visuel et la visibilité-L'aspect paysager peut se voir comme des petits jardins de babylone (idées de cultures en terrasse, en espalier, etc.), jouant avec le relief du terrain pour créer des mini-cultures (pourquoi pas un filet d'eau ?). Un accent particulier doit être mis pour protéger et mettre en valeur le platane, ainsi que les tilleuls (qui se meurent).",Place Jules Verne,Modification de la place,pour créer des mini-cultures à travers des animations et réunions enfantines
Créer un média de proximité « la pêche hors les murs » (webradio),Estelle Feliculis,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,153750,Culture et loisirs,,"Création de La pêche hors les murs, média de quartier en lien avec un grand média national notre projet est de créer une Webradio de proximité qui s'articule avec une expérience / un quartier / une ville et le reste du monde.",Quartier La Pêche,Créer un média de proximité « la pêche hors les murs » (webradio),Renforcer les liens_Vivre ensemble_S'exprimer_Citoyenneté
Pour le sport rue Edouard Vaillant,Etienne Vincent ,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Sports,," Au 44 rue Edouard Vaillant se trouve un terrain de football en terre et les restes d'un terrain de basket, clôturé en grillage. Ce sont surtout les enfants du quartier qui s'y retrouvent.Une option un peu plus chère, mais meilleure à mon avis, serait de réduire la taille du terrain de foot en changeant son orientation, car il est surtout utilisé par des enfants, pour permettre l'ajout d'un skate-park entre le terrain de foot et le terrain de basket...",Terrain de sport rue Edouard Vaillant,Réhabilitation du terrain de basket / foot,Réhabilitation du terrain de basket/foot rue Edouard Vaillant
Aménagement agréable et ludique de l'exterieur de Comme Vous Emoi – côté rue de la révolution,Fanny Morvan ,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Aménagement et Mobilier Urbain,," Notre projet répond à des objectifs d'amélioration d'environnement et de création ludique.Installation d'un bac de récupération d'eau. Cette eau pourra notamment être filtrée afin de l'utiliser pour le jardinage
Conception et installation d'un parcours de l'eau",Rue de la Révolution,Notre projet répond à des objectifs d'amélioration d'environnement et de création ludique,Le projet répond à des objectifs d'amélioration d'environnement et de création ludique.
Le sport en sécurité,Faouzi Lalouni ,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Sports,,"Il s'agit de remettre à niveau le terrain de foot situé face à la maternelle Jean moulin, de changer la surface de jeux. Aujourd'hui elle est en béton, il s'agit d'en faire un terrain synthétique donc sécurisé, comme cela s'est fait à la rue parmentier.Il s'agit également de mettre des cages de foot à la dimension du terrain.",Terrain de foot situé face à la maternelle Jean Moulin,Manque de terrain de proximité sécurisé  - de plus en plus de jeunes ont envie de pratiquer du sport et n'ont pas les moyens de se payer une licence dans un club,manque de terrain de proximité sécurisé. -de plus en plus de jeunes ont envie de pratiquer du sport et n'ont pas les moyens de se payer une licence dans un club
Cœur de Ville,FAUCHER Eleonore,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,200000,Espaces verts,,Cœur de Ville,la rue Victor Hugo / square Zéfirottes,"Amélioration de l'espace public sur la rue Victor Hugo. Ajout de 2 table de ping-pong dans le square Zéfirottes devant l'école
",
Boulevard des arbres et de la diversité,Florence Frery ,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Espaces verts,,"L'ensemble du bas Montreuil, manque d'espaces verts et de verdure même s'il y a eu la création de nouveaux petits squares, jardins partagés, espaces de jeux et l'agrandissement du terrain d'aventure.",Boulevard des arbres et de la diversité,"Planter des arbres / espaces végétalisés de manière continue et linéraire dans le Bas Montreuil jusqu'au jardin école, quartier du Bel Air. Créer un parcours découverte de la diversité","L'objectif est de planter dans les espaces vacants des trottoirs, angles de rue, pignons, végétalisation de murs et de créer une continuité et un linéaire;"
Donner à voir les murs à pêches,Florence Frery ,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Espaces verts,,"L'idée de ce projet est née lors du dernier festival des murs à pêches : les parcelles aujourd'hui ouvertes sont situées sur les coteaux construire un belvédère en bois qui crée un accès, une passerelle entre le quartier du Bel Air et la prairie. Donner à voir les murs à pêches de notre ville et pourtant de l'intérieur, nous ne voyons pas l'ensemble.",Murs à Pêches,"Construire un belvédère en bois qui crée un accès, une passerelle entre le quartier du Bel Air et la prairie. Donner à voir les murs à pêches","Faire découvrir ce paysage si singulier avec une vision d'ensemble, en mesurer sa diversité, ses risques aussi et comment il s'intègre à Montreuil."
"
Les ados profitent de l'espace public
",Francis Proust ,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Culture et loisirs,,-Penser des structures légères à usages multiples pour créer des jeux/sports collectifs.,la Place Aimé Césaire,"Animation de la Place Aimé Césaire pour une installation légère destinée aux adolescents:

-Envisager / créer des lieux dédiés aux loisirs / sports pour les pré-adolescents - adolescents.

-Penser des structures légères à usages multiples pour créer des j",Animation de la Place Aimé Césaire pour une installation légère destinée aux adolescents
"
Le Nouveau Mandela",Frédéric Boyer ,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,40000,Espaces verts,,"Réhabilitaion du jardin d'enfants, des aires de jeux et des espaces verts de la résidence Mandela ; Faciliter et améliorer les accès à la résidence, sécuriser,  rendre accessible et aménager la passerelle située en façade de l'entrée Rue Colmet Lepinay, ",Résidence Mandela,"- Réhabilitation du jardin d'enfants, de l'aire de jeux
et des espaces verts de la résidence Mandela.

- Sécuriser, Rendre accessible et Aménager la
passerelle située en façade de l'entrée rue
Colmet Lepinay.

- Faciliter et Améliorer les accès à la résidence ",Redonner de la vie à des espaces qui à défaut d'être accessible servent de lieux de squat et sont détériorées. Cette propositon facilitera le mieux vivre ensemble
"Espace polyvalent, pédagogique et festif dans les Murs à Pêches",Frédéric Géral,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,51000,Culture et loisirs,,"A la fois café social et populaire, espace culturel et festif à dimension horticole et agricole,  jardin public et zone d'ateliers créatifs et éducatifs ; ce lieu serait à la fois le lieu de rassemblement et de convergence des différents groupes auprès desquels le Sens de l'Humus et ses partenaires interviennent mais aussi et surtout un espace ouvert au grand public. ",Murs à Pêches,"Participer à l'aménagement du quartier et à la réhabilitation de la rue. Faire vivre le quartier, fair connaïtre les Murs à Pëches, sensibliser au Jardinage Naturel (dans tous ses aspects). Améliorer l'accueil public et développer des activités pédagogiqu",Participer à l'aménagement du quartier et à la réhabilitation de la rue ; - Faire vivre le quartier ; - Faire connaître les Murs à Pêches - Sensibiliser au Jardinage Naturel (dans tous ses aspects) - Améliorer l'accueil du public - Développer des activités pédagogiques et festives
Broyage de quartier et animations (jardinage écologique),Géral Frédéric ,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,5000,Gestion des déchets,,"Dans le même esprit que celui du compostage collectif, nous proposons de mener des opérations de broyage de déchets verts en quartier (lieux et périodes de présence à définir), sur des sites de compostage collectif ou en déchetterie.",Ville,"Réduire le coût du rtaitement des déchets verts – réduire les déplacements en déchetterie. Comprendre l'intérêt du paillage grâce à des animations associées au broyage. Encourager des pratiques de paillage, de mulching et plus généralement de jardinage na","Réduire le coût du traitement des déchets verts,Réduire les déplacements en déchetterie "
Le square intergénérationnel Zoé Rue de Dhuys,HEDHUIN Céline /LEVASSOR Mrie-Brigitte,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,Culture et loisirs,,Le square intergénérationnel Zoé Rue de Dhuys,Le square intergénérationnel Zoé Rue de Dhuys,réhabilitation des espaces verts et publics dans le quartier Ramenas Léo Lagrange qui n'ont pas eu de rénovation depuis plus de 20 ans pour répondre à un besoin de vivre ensemble,
Le 7ème chemin,Helene Mathon,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,"Mobilité, circulation",,Nous proposons la piétonnisation de la rue des Hanots dans la portion comprise entre le carrefour des 7 Chemins et l'intersection avec la rue de la fontaine des Hanots.,Rue des Hanots (carrefour des 7 chemins et l'intersection avec la rue de la Fontaine des Hanots),"Sécurisation des piétons, en particulier des enfants, convivialité,tranquillité publique","Sécurisation des piétons, en particulier des enfants, convivialité, tranquilité publique"
"
Fresque murale allée Blériot
",HélèneDe Grandpré,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,3000,Education et jeunesse,,"Certains de nos enfants, intéressés par le fait que même des jeunes à partir de 11 ans (accompagnés par des adultes) pouvaient se faire promoteur de projets ont avancé l'idée de réaliser une fresque murale.",,Réalisation d'une fresque mural par des enfants,ordre esthétique et social
Réaménagement des trottoirs et des bancs,Henriette Barbote,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,200000,Aménagement et Mobilier Urbain,,Réaménagement des trottoirs et des bancs,NON RENSEIGNE,,Aménagement des trottoirs et bancs (amélioration urbaine)
Jeu stoppe ou encore,Isabel Choquet ,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Culture et loisirs,,Jeu stoppe ou encore,Ville entière,"Instaurer dans divers endroits, du mobilier urbain ludique, des temps de pause : une table pour jouer aux échecs, des poubelles en haut d'un panier de basket. Pour arrêter le temps d'un jeu et d'un échange, sur une place, près d'un square, un côté d'une p",
Jardins verticaux,Isabel Choquet ,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Espaces verts,,"Habiller les bâtiments de vert présente, outre des qualités esthétiques, de nombreux autres avantages. Les murs végétaux ont un effet apaisant sur notre humeur et favorisent notre bien-être général.",toute la ville,"Habiller les bâtiments de vert présentent, outre des qualités esthétiques, de nombreux auters avantages. Les murs végétaux ont un efet apaisant sur noter humeur et favorisent notre bien-être général",Embellissement
Signalétique artistique,Isabel Choquet ,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,3450,Urbanisme,,"Dans le cadre du PRUS Bel - Grand pécher, l'installation d'une oeuvre artistique sur le château d'eau, la venue de nouvelles populations, d'une Maison de quartier High Tech, les différentes écoles, université... la mise en oeuvre d'un signalétique artistique semble opportun. Avec la collaboration d'association du secteur, peut-etre lors d'atelier avec la population... ",Prus Bel Air,Installation d'une œuvre artistique sur le château d'eau,Orientation dans un nouveau quartier
Nichoirs à martinets noirs et autres,Isabelle Pallard,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Espaces verts,,Nichoirs à martinets noirs et autres, Ecoles primaires Jules Ferry / Guilands,"Reconstituer un habitat pérenne pour les oiseaux,
Avec les habitants de le rue des Guillands","Préservation de la biodiversité avec poursuite d'objectifs natura 200 aux Guiland, sensibilisation "
valorisation du marché de la Croix de Chavaux,Isabelle Susset ,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,"Le marché de la croix de chavaux , très dynamique en terme d'activités et de commerces tout au long de l'année, possède une mauvaise hygiène générale et d'une sécurité faible pour les piètons pour s'y rendre. ",Secteur de la croix de Chavaux,"- améliorer la circulation piétonne dans le secteur de la
croix de Chavaux (nord Chanzy et Sud Rue de Paris) :
interdire par des plots le stationnement des véhicules
sur les trottoirs; réserver des places de stationnement
pour les camions du marché en hauteur",Valoriser le secteur du marché et sécuriser le quartier le jour des marchés
Aménagement des trottoirs et pose de bancs,Jacqueline Perlin  ,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,200000,Aménagement et Mobilier Urbain,,Aménagement des trottoirs et pose de bancs,NON RENSEIGNE,Aménagement des trottoirs et pose de bancs,Aménagement des trottoirs et pose de bancs
Aménagement des trottoirs des rues et des bancs supplémentaires,Jean Raymonde,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,200000,Aménagement et Mobilier Urbain,,Aménagement des trottoirs des rues et des bancs supplémentaires ,NON RENSEIGNE,,
"a voir
",Jean-Claude PALLARD,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,"Mobilité, circulation",,"Réaliser un cheminement pietonnier entre l'espace 40 et l'espace 18 du centre social du Grand Air en passant par le stade J.Delbert et Grands Pêchers, afin de raccourcir le temps de trajet et ceci dans un cadre plus agréable que la rue Lenain de Tillemont.","Entre l'espace 40 et l'espace 18 du centre social du
grand air","Réaliser un cheminement piéton entre l'espace 40
et l'espace 18 du centre social du grand air
en passant par le stade J.Delbert et grands pêchers",Réunir l'espace 40 et l'espace 18 du centre social du Grand air
Fleurissement des espaces verts allée Gustave Courbert,Jean-Pierre Thomassin ,"Ruffins-Théophile Sueur
Montreau-Le Morillon",,Nouvelle proposition,1200,Espaces verts,,implantation de fleurs et d'arbustes sur les pelouses existantes le long des immeubles sur 40 cm de largeur ,Allée Gustave Courbert,Implantation de fleurs et d'arbustes sur les pelouses existantes le long des immeubles sur 40 cm de largeur,Un souci de proposer un environnement fleuri et sécuriser sur l'espace de l'OPHM avec l'apaisement des locataires et la défense des oiseaux avec le CORIF
"
Squares de proximité
",Jeanne Studer,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,,Espaces verts,,"Il s'agit d'utiliser des espaces libres de la ville, petits ou grands, pour en faire des squares de proximité, où les mamans viennent avec leurs enfants pour prendre l'air, et où les enfants peuvent courir et jouer en toute liberté, sans danger.",,"Il s'agit d'utiliser des espaces libres de la ville, petits ou grands, pour en faire des squares de proximité.

Dans ces squares, il y aurait des bancs, des lieux pour les tout-petits avec des bacs à sable, quelques jeux pour les enfants entre 2 ans","CONVIVIALITE et ECHANGE dans un espace dédié à la verdure, au calme et au repos. RESSOURCEMENT apporté par les arbres et la nature"
"
Passage école Henri Wallon
",Jérôme OLIVIER ,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,,Aménagement et Mobilier Urbain,,Il s'agit d'aménager le passage qui relie l'école maternelle Henri Wallon et la rue Paul Doumer en longeant l'école élémentaire.,"entre l'école maternelle H Wallon et l'école
Élémentaire H Wallon (rue Paul Doumer)",Il s'agit d'aménager le passage qui relie l'école maternelle Henri Wallon et la rue Paul Doumer en longeant l'école élémentaire. Ce passage étroit au revêtement inégal et surtout possédant 3 marches à une des extrémités est très emprunté par les parents e," Faciliter la circulation des enfants et parents particulièrement ceux avec poussettes, aux vélos, trottinettes ou ceux à mobilité réduite entre l'école maternelle H Wallon et l'école élémentaire H Wallon (rue Paul Doumer) "
"""Bien vivre dans mon quartier"" d'une façon
Humanitaire",Jocelyne Poullain,"Ruffins-Théophile Sueur
Montreau-Le Morillon",,Nouvelle proposition,,Espaces verts,,"Abris de jardin : outillage, matériel de jardinage + accessoires. Ruches : avec  apiculteurs confirmés, matériaux combinaisons + casques de protectioh + anesthésiant. Maison des insectes au parc Montreau à refaire !!! abandonnée (voir nécessité pour la vie des abeilles)","Dèrrière l'allée Lancelot, près du parc Montreau","Création de :

- Jardins partages (avec association CGL et aux 3F)
- Ferme pédagogique ( avec partenariat de l'école
d'horticulture et jardin école en parallèle)
- Club d'apiculture en parallèle avec la maison des
insectes du parc Montreau

- Abris de jardin",1) jardins partagés (avec association CGL et aux 3F/ 2) ferme pédagogique ( avec partenariat de l'école d'horticulture et jardin école en parallèle)/3) Club d'apiculture en parallèle avec la maison des insectes du parc Montreau
Modifier le stationnement vers le 91 avenue Pasteur,Joel Wrobel ,La Noue-Clos Français / Villiers-Barbuse,,Nouvelle proposition,300,"Mobilité, circulation",,"Actuellement, vers le 91 avenue Pasteur, le stationnement se rétrécit pour disparaître, or les véhicules s'y garent quand même, empiétant sur la voie de gauche de la circulation, ce qui est dangereux.",91 avenue Pasteur,Modifier le stationnement vers le 91 avenue Pasteur,L'idée serait de remplir le triangle du 93 au 91 avenue Pasteur pour éviter que les véhicules s'y garent et gênent la circulation.
Quelques Plots pour des trottoirs libérés,Jose Afonso,"Bas Montreuil-République /
Étienne Marcel-Chanzy / Bobillot",,Nouvelle proposition,,Gestion des déchets,,Poser des bornes anti-stationnement sur une place de parking tous les 50 mètres afin de réserver cet espace aux aux poubelles pour le ramassage.,"dans des rues etroites telle que la rue Paul Bert,
ou certains troncons de la rue Etienne Marcel","Afin de désengorger les trottoirs, surtout dans des rues étroites telle que la rue Paul Bert, ou certains troncons de la rue Etienne Marcel :

Poser des bornes anti-stationnement sur une place de parking tous les 50 mètres afin de réserver cet espace aux aux poubelles pour le ramassage.",Besoin d'espace sur les trottoirs- Amélioration de la circulation des piétons
création participative de mobilier urbain en mosaique,Julia Litvine,"Bel air-Grands pêchers /
Mur à pêches-Paul Signac",,Nouvelle proposition,23000,Aménagement et Mobilier Urbain,,"La Maison de la Plage se chargera de la realisation de la table,de la chaise et de la jardiniere qui serviront de support aux créations en mosaïque.Les artistes intervenants assureront également le suivi technique et les conseils plastiques,ce sont eux qui procéderont à la direction artistique afin d'assurer la cohérence esthétique des oeuvres.",,"L'association La Maison de la Plage propose de créer un espace de convivialité,de rencontres intergénérationnelles au coeur de leur cité. Il existe déjà quatre bancs en briques à double sens de 5 m de long qui serviront de base à cet espace d'échange.
","contribuer à créer du lien social dans un quartier,ameliorer le cadre de vie"
"
Jean Moulin, projet street art dans les HLM
",Julie Vila,Solidarité-Carnot / Centre Ville / Jean Moulin – Beaumonts,,Nouvelle proposition,6000,Education et Jeunesse,,"Il s'agira d'aborder l'art de rue en classe à l'aide de différents supports, de sorties et d'interventions extérieures, le projet final étant que les élèves produisent des graffitis en langue étrangère (espagnol et anglais) sur le mur d'un bâtiment de l'OPHM. ","cité de l'Espoir, mur allée du 14 juillet face au
Terrain multisport",Je suis professeur d'espagnol au collège Jean Moulin de Montreuil. Je souhaiterais monter avec ma collègue d'anglais un projet autour de l'art de rue en collaboration avec un ou des artistes graffeurs montreuillois.,"Sensibiliser les jeunes à l'art urbain autour d'un projet commun, favoriser leur appropriation des cités et embellir leur lieu de vie ainsi que celui du reste des habitants."
Equipement,KACET Kahaled,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,180000,Aménagement et Mobilier Urbain,,Equipement,terre plein central de la rue de la Dhuys,"aménagement du terre plein central de la rue de la Dhuys afin d'améliorer la convivialité inter générationnelle

Installer sur le terre plein divers équipements dont : appareils de culture physique (musculation) balançoires, table de ping-pong en dur, tob",
La piste cyclable des Ramenas,KACET Kahaled,"Ramenas / Léo Lagrange /
Branly-Boissière",,Nouvelle proposition,,"Mobilité, circulation",,La piste cyclable des Ramenas,"rue de la Dhuys et/ou rue Saint Denis
Et / ou rue Fernand Lemaze","Réaliser une piste cyclable rue de la Dhuys et/ou rue Saint Denis et / ou rue Fernand Lemaze
",
